dataset,heldout_outer_fold,feature_block,n_train,n_test,grouping,selected_params,mae,rmse,median_absolute_error,r2
human_activity_recognition,3,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.015727192539499692,0.020181400130508807,0.01488579556423712,-0.545851671657539
human_activity_recognition,4,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.013232661025333131,0.018057739916500976,0.010476144986691367,-0.13088237744704667
human_activity_recognition,0,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.016257093036457164,0.023586393140830966,0.00979132723359189,-0.05918577122520774
human_activity_recognition,1,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.015043471715410178,0.02208266935442525,0.008816570760621482,-0.1928581468645032
human_activity_recognition,2,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.014806076643957132,0.020188796863497123,0.011727201525349597,-0.5585082794405987
human_activity_recognition,3,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.017618947718353636,0.024698861784539474,0.01376973150341862,-1.3153631303524178
human_activity_recognition,4,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.01272082636340349,0.018050560444594285,0.008708162353673842,-0.1299833143000877
human_activity_recognition,0,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0175110361746878,0.028261783536495114,0.008349428971564274,-0.5207163073157746
human_activity_recognition,1,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.017593763747964914,0.024595969890450584,0.01255075203268977,-0.4798359274334516
human_activity_recognition,2,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0169021146513424,0.021710850210502973,0.013801323992110932,-0.8023614892752762
human_activity_recognition,3,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.01785432662676379,0.02312636879250431,0.015484630461897856,-1.0299256330138293
human_activity_recognition,4,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.014580877747680887,0.01939349039369147,0.010189552062469841,-0.3043754252653763
iris,0,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0439381257898769}",0.11132632766864994,0.12561171769323662,0.10365372722784699,-0.003026998905421907
iris,1,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.056943864847481346}",0.13937205751674345,0.17230329584835594,0.09075458346221645,-0.3209979846278648
iris,2,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0319004607844335}",0.1298763569547681,0.16959597802272544,0.11718074411419885,-0.052061025868646915
iris,3,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0057158320785455}",0.0769323160510096,0.10357143025681893,0.0672060732307439,-0.2530560971820168
iris,4,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0021172345722641}",0.12698890123887188,0.16299072820601088,0.1113970878846829,-1.4899155649857332
iris,0,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.11023864076790715,0.1306882671276864,0.08102299794966547,-0.08573918785187717
iris,1,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.13139516580901878,0.1640322788808161,0.0945460049121202,-0.19721906066669193
iris,2,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.13484933645260785,0.1576163407942555,0.10174151385884458,0.09131718180800752
iris,3,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.09345477001104616,0.12160557458945156,0.07813494341040622,-0.7274183752970858
iris,4,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.10664176581600995,0.15281819298232263,0.06343287558699767,-1.1888144135307401
iris,0,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.10749252097691209,0.13267511991232112,0.09182970731516378,-0.11900310594406749
iris,1,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.16390887690677677,0.1954241502760246,0.1504012902101145,-0.699305448944529
iris,2,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.17445208747066834,0.1969586591822892,0.15370780490511513,-0.4189268047012149
iris,3,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 7}",0.14952279637597576,0.19396955811282207,0.11458815248733203,-3.3949882633442385
iris,4,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0975360780241166,0.1379080443319402,0.04384007743125394,-0.7825348093137379
iris,0,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.14124765844577614,0.1822557779688424,0.1161081817156734,-1.1116159084365398
iris,1,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.12195070450076739,0.1507031880057184,0.10873653567537656,-0.010554789138685239
iris,2,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 15}",0.12124104243501616,0.15664005433642314,0.11918881814355736,0.10253920661376481
iris,3,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.12628129400727023,0.16197761752658127,0.10964983779119816,-2.064789001070794
iris,4,P3,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.1169104357397899,0.14802822611878858,0.0793551986819321,-1.053751480859451
iris,0,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.08893324154278143,0.1091137123021748,0.08553016891471821,0.24314797402598787
