grouping_level,n_rows,source_converged_count,source_convergence_rate,candidate_converged_count,candidate_convergence_rate,both_converged_count,both_convergence_rate,usable_count,usable_nonconverged_count,dataset_id,outer_fold,condition,severity,seed
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,local_overlap_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,local_overlap_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,location_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,location_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,mcar_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,mcar_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,measurement_noise_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,measurement_noise_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,outliers_mild,,
dataset_condition,25,25,1.0,22,0.88,22,0.88,25,3,waveform,,outliers_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,scale_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,scale_severe,,
