evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,replication_arm
LODO,mice_protein_expression,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",6.78779854571298,0.27315724097400745,1.4730447006798033,0.20220494714804643,0.019393710130608515,0.027936521972603094,0.012720311829889567,-0.3936213868487557,fully_corrected_600
LODO,pendigits,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.810531892133547,1.8684617284646698,8.03474265761787,2.1078684154484226,0.05088723397752442,0.07306478003338975,0.0259094557719777,0.028572995704760684,fully_corrected_600
LODO,satimage,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",13.873264485925487,1.277887781901307,12.417447334371666,1.30536511783394,0.03963789853121568,0.0604243986175241,0.02163171808445589,-0.47764517444435417,fully_corrected_600
LODO,sonar,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",9.182080444643653,0.8142574329872114,-3.0232963202821077,0.6857004758673672,0.026234515556124723,0.04823328527619583,0.017103973072842386,-0.23449910881444858,fully_corrected_600
LODO,spambase,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",18.485558412031757,2.158242624075217,6.705295519242272,1.474987699041809,0.05281588117723359,0.07852647640992025,0.03559377640138899,-0.6028207742468772,fully_corrected_600
LODO,waveform,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",10.246352669994186,0.6894493412329568,0.44455259891158244,0.06296780453922166,0.02927529334284053,0.044383051502410134,0.01730534098372124,-10.04830887087566,fully_corrected_600
LOSFO,class_prevalence,HGBR,P0,594,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",41.522766078622766,6.159923613861986,-15.572056236653747,5.121869426666818,0.06990364659700803,0.10183438404673752,0.044979105861012586,-0.3068297657625907,fully_corrected_600
LOSFO,local_overlap,HGBR,P0,594,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",39.29742369038934,9.650712068531455,38.23435021698634,10.178305903323121,0.06615727894004939,0.12746368115805662,0.01507226083868832,-0.2505372448200496,fully_corrected_600
LOSFO,location,HGBR,P0,594,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",19.14872010877339,1.633991425244808,4.11539489610647,1.1575540727720108,0.03223690254002254,0.052448329956510054,0.014199452288266908,-0.447237716342066,fully_corrected_600
LOSFO,mcar,HGBR,P0,589,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",28.45565527017604,3.0130719905580055,16.710222294897356,2.7058730315121444,0.04831180860810873,0.07152322797641611,0.02734755350574477,-0.35006620307679825,fully_corrected_600
LOSFO,measurement_noise,HGBR,P0,589,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",19.925963893209197,1.0438104088215554,1.053542150731214,0.2489764063663639,0.03383015941122105,0.04209719550002099,0.027368083128954956,-3.2243806556414194,fully_corrected_600
LOSFO,outliers,HGBR,P0,591,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",21.203936696008405,1.738272425049177,19.847471858288642,1.7240665084702402,0.03587806547547954,0.054233193690613024,0.020500486089470915,-0.6437073351010618,fully_corrected_600
LOSFO,scale,HGBR,P0,594,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",16.318394893545644,0.6437121063453825,-3.6088073761687354,0.38250933557749134,0.027472045275329367,0.03291945343900573,0.025338048746494167,-0.7851918818600523,fully_corrected_600
LOSFO,class_prevalence,HGBR,P3,594,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",37.53246132809673,5.9770648799981085,-15.572056236653747,5.121869426666818,0.06318596183181267,0.10031150875086868,0.031169767349242164,-0.2680362268613581,fully_corrected_600
LOSFO,local_overlap,HGBR,P3,594,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",40.00374722757351,9.023025990911334,38.23435021698634,10.178305903323121,0.06734637580399581,0.12324885170247502,0.01868944780013915,-0.16920181459014172,fully_corrected_600
LOSFO,location,HGBR,P3,594,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",23.3710439400138,2.3464301278800663,4.11539489610647,1.1575540727720108,0.03934519181820505,0.0628507682570799,0.021095804278663213,-1.078249694193222,fully_corrected_600
LOSFO,mcar,HGBR,P3,589,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",26.456271383749357,3.0154668420584354,16.710222294897356,2.7058730315121444,0.04491726890280027,0.07155164639592008,0.021073089031633765,-0.3511392634226016,fully_corrected_600
LOSFO,measurement_noise,HGBR,P3,589,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",16.808942047326077,1.0774672143364927,1.053542150731214,0.2489764063663639,0.028538101947922032,0.04277050564784865,0.014791004556830545,-3.360592324874058,fully_corrected_600
LOSFO,outliers,HGBR,P3,591,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",20.28507495209324,1.5867477930335099,19.847471858288642,1.7240665084702402,0.03432330787156217,0.051815561771354615,0.020097103720501493,-0.5004259106801485,fully_corrected_600
LOSFO,scale,HGBR,P3,594,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",16.01929779237262,0.7368686205476566,-3.6088073761687354,0.38250933557749134,0.026968514801974108,0.03522101025256861,0.02041987560431671,-1.0435406860179337,fully_corrected_600
